Date, Open, High, Low,Close, Volume
06/11/24,18.15,18.15,18,18.05,9094600
06/10/24,18.35,18.35,18,18.1,270300
06/07/24,18.35,18.35,18.25,18.35,3250900
06/06/24,18.05,18.7,18,18.35,4895200
06/05/24,18.05,18.2,18,18.05,5474800
06/04/24,18,18.15,18,18,3279500
06/03/24,18.2,18.5,17.95,18,6821200
05/31/24,18.2,18.2,17.85,17.9,12864800
05/30/24,18.35,18.35,18,18.05,11478800
05/29/24,18.75,18.75,18.05,18.35,18215900
05/28/24,17.7,18.7,17.7,18.5,30893801
05/27/24,17.7,18,17.7,17.8,775800
05/24/24,17.9,18,17.5,17.75,8426400
05/23/24,18.7,18.7,17.85,18,13520200
05/22/24,18.5,19.05,18.4,18.9,16527699
05/21/24,18,18.45,18,18.3,5896900
05/20/24,17.5,18.15,17.5,17.95,5743900
05/17/24,17.35,17.8,17.25,17.4,667900
05/16/24,17.3,17.35,17,17.25,526000
05/15/24,17.1,17.35,17,17.25,5723200
05/14/24,17.5,17.75,17.05,17.35,2381100
05/13/24,16.55,17.85,16.55,17.35,1325500
05/09/24,16.5,17.4,16,16.5,2783300
05/08/24,15.8,17,15.75,15.95,7641200
05/07/24,15.8,15.85,15.5,15.65,5009400
05/06/24,15.95,15.95,15.7,15.75,898500
05/03/24,16,16,15.85,15.95,1483800
05/02/24,15.95,16.2,15.9,16,1898700
04/30/24,16,16,15.75,15.95,616000
04/29/24,16.25,16.3,15.75,16,4777400
04/26/24,16.5,16.5,16.2,16.3,1809200
04/25/24,16.3,16.5,16.2,16.35,3116100
04/24/24,16.25,16.8,16.2,16.35,912400
04/23/24,16.1,17,16.05,16.25,5562200
04/22/24,16,16.3,16,16.1,426400
04/19/24,16.5,16.5,15.9,16,11548000
04/18/24,16.8,16.9,16.3,16.35,1278400
04/17/24,16.95,16.95,16,16.75,10621700
04/16/24,17.45,17.5,16.9,16.95,941100
04/15/24,17.05,17.3,17,17.05,5336200
04/12/24,16.5,17.2,16.5,16.95,3761800
04/11/24,16.65,16.75,16.5,16.65,4093000
04/09/24,17,17,16.3,16.65,8563600
04/08/24,17.5,17.5,16.5,16.8,6289300
04/05/24,17.7,18.05,17,17.55,5390900
04/04/24,17.5,17.85,17.5,17.7,6958200
04/03/24,17.5,18,17.5,18,16829500
04/02/24,17.4,18.2,16.5,17.55,7807300
03/28/24,19,19.5,17.4,17.75,13614000
03/27/24,20.5,21.15,18.15,19.3,7005400
03/26/24,18.3,19.35,18,19.25,5313500
03/25/24,16.8,18.15,16.8,17.6,104525297
03/22/24,16.75,17.2,16.3,16.75,20780000
03/21/24,15.7,16.85,15.7,16.15,6160500
03/20/24,14.9,15.85,14.9,15.4,5257500
03/19/24,14.7,15,14.55,14.8,3772800
03/18/24,15,15.4,14.3,14.6,9307800
03/15/24,15.5,15.85,14.85,15.2,2631200
03/14/24,14.7,15.2,14.6,15,42418699
03/13/24,14.65,14.65,14.5,14.6,37153102
03/12/24,14.2,14.7,14.2,14.5,23289699
03/11/24,14.05,14.25,14,14.15,1723000
03/08/24,13.9,14.1,13.8,13.9,10298300
03/07/24,13.9,13.9,13.75,13.9,1017300
03/06/24,13.6,13.9,13.6,13.75,1544400
03/05/24,13.6,13.8,13.5,13.5,10095000
03/04/24,13.8,14.8,13.4,13.5,2195300
03/01/24,13.35,13.9,13.3,13.5,11252100
02/29/24,13.45,13.45,13.15,13.25,5538200
02/28/24,13.6,13.6,13.3,13.5,13609500
02/27/24,13.8,13.8,13.5,13.65,5063800
02/26/24,13.35,14,13.35,13.75,2030600
02/23/24,13.7,13.7,13.35,13.4,1801500
02/22/24,13.4,13.5,13.3,13.4,19041801
02/21/24,13.5,13.9,13,13.4,4540900
02/20/24,13.6,13.6,13.35,13.5,494000
02/19/24,13.2,13.5,13.1,13.4,480600
02/16/24,13.4,13.5,12.95,13.1,11761400
02/15/24,13.15,13.45,13,13.05,14330200
02/14/24,13.2,13.35,12.95,13,1334300
02/13/24,13,13.3,13,13.2,22076600
02/12/24,13.2,13.45,13,13.2,242400
02/09/24,13.2,13.2,12.95,13.05,4896800
02/08/24,13.4,13.4,13,13.2,1845800
02/07/24,13.45,13.45,13,13.15,1425100
02/06/24,13.45,13.5,13.4,13.45,7787100
02/05/24,13.5,13.5,13.35,13.45,7576000
02/02/24,13.7,13.75,13.4,13.5,6246000
02/01/24,13.9,13.9,13.35,13.5,4667900
01/31/24,13.75,13.9,13.5,13.6,3222700
01/30/24,13.5,13.7,13.5,13.55,5800700
01/29/24,13,13.45,13,13.1,4917900
01/26/24,13.5,13.5,12.95,13.1,928000
01/25/24,13.5,13.5,13.2,13.45,2189800
01/24/24,13.95,13.95,13.4,13.6,1912400
01/23/24,13.75,13.95,13.7,13.8,316400
01/22/24,13.95,13.95,13.8,13.9,2946700
01/19/24,13.95,14,13.75,13.95,11829000
01/18/24,14,14,13.9,13.95,1274700
01/17/24,14.2,14.2,13.85,14,5351600
01/16/24,13.9,14.1,13.8,13.9,2446300
01/15/24,13.9,14.1,13.65,13.9,407100
01/12/24,14.1,14.1,13.8,13.9,440300
01/11/24,14,14,13.85,13.9,10658100
01/10/24,13.6,14.1,13.6,13.8,4438100
01/09/24,13.85,14.1,13.6,13.65,2192400
01/08/24,13.7,14,13.6,13.85,248500
01/05/24,13.8,14,13.55,13.6,5622200
01/04/24,13.65,13.8,13.55,13.6,1000500
01/03/24,13.9,13.9,13.6,13.65,1666700
01/02/24,13.7,13.95,13.65,13.75,176500
12/29/23,14,14,13.8,13.9,396700
12/28/23,13.9,14.1,13.6,13.7,5262500
12/27/23,13.55,14,13.5,13.6,14199200
12/22/23,13.8,13.8,13.5,13.55,1740200
12/21/23,13.8,13.8,13.5,13.55,5824300
12/20/23,13.5,13.8,13.5,13.5,6908500
12/19/23,13.9,13.9,13.4,13.5,11518300
12/18/23,14,14,13.5,13.85,5857300
12/15/23,14.4,14.45,13.7,14.1,753200
12/14/23,14.45,14.45,14.2,14.4,6830400
12/13/23,14.45,14.5,14.35,14.45,14879800
12/11/23,14.55,14.55,14.35,14.5,1768900
12/08/23,14.6,14.6,14.4,14.55,2899700
12/07/23,14.9,14.9,14.4,14.55,1248800
12/06/23,14.95,15.1,14.3,14.6,59683102
12/05/23,14.55,15.2,14.5,14.8,8039500
12/04/23,14.5,14.55,14,14.5,1972800
12/01/23,14.2,14.4,14,14.05,1213300
11/30/23,13.9,14.45,13.8,14.05,16439400
11/29/23,14,14.2,13.75,14,9416400
11/28/23,13.95,14.4,13.7,14,13252700
11/27/23,13.75,13.8,13.35,13.45,2743600
11/24/23,13.7,13.75,13.65,13.7,219500
11/23/23,13.7,13.7,13.45,13.6,885500
11/22/23,13.5,14,13.45,13.7,3260900
11/21/23,13.5,13.8,13.3,13.45,4615700
11/20/23,13.45,13.5,13.05,13.4,2454400
11/17/23,13.5,13.55,13.05,13.45,7093700
11/16/23,13.95,14,13.3,13.5,3915000
11/15/23,13.95,13.95,13.45,13.5,6066600
11/14/23,13.5,14,13,13.3,1883200
11/10/23,13.5,14.3,13.3,13.5,59099801
11/09/23,13.15,13.75,12.95,13.3,17306000
11/08/23,12.15,13.15,12.15,12.45,371700
11/07/23,12,12.3,11.8,12,12695600
11/06/23,11.65,12.05,11.5,11.95,3796900
11/03/23,12,12,11.5,11.65,5888700
11/02/23,12.5,12.5,11.95,12.1,705400
11/01/23,12.45,12.5,12.2,12.3,811900
10/31/23,12.5,12.5,12.35,12.45,2338500
10/30/23,12.5,13,12.45,12.5,14855700
10/27/23,12.7,13.3,12.5,12.5,72111602
10/26/23,12.5,12.7,12.4,12.45,6886500
10/25/23,12.9,13,12.3,12.5,8052800
10/24/23,13.75,13.75,12.7,13,1458400
10/23/23,13.9,13.9,13,13.6,11962300
10/19/23,13.8,13.8,13.7,13.8,6356700
10/18/23,13.7,13.95,13.65,13.8,10979700
10/17/23,14,14,13.65,13.8,504600
10/16/23,14,14.2,13.8,13.95,1711200
10/13/23,14,14,13.85,13.95,900800
10/12/23,14,14.35,13.85,14,1661300
10/11/23,14.4,14.4,13.8,13.9,5405200
10/09/23,14,14,13.8,14,809100
10/06/23,14.3,14.65,13.85,14,48233398
10/05/23,14.7,14.7,14.25,14.5,2483600
10/04/23,15,15,14.55,14.65,574900
10/03/23,14.7,14.8,14.6,14.7,2602000
10/02/23,14.6,14.9,14.6,14.65,1919700
09/29/23,14.6,14.7,14.5,14.6,2270500
09/28/23,14.85,14.85,14.5,14.6,2383000
09/27/23,14.9,14.9,14.65,14.7,3180700
09/26/23,14.95,14.95,14.8,14.9,299700
09/25/23,15,15,14.8,14.95,2139000
09/22/23,15,15.3,14.9,15,8289600
09/21/23,15.25,15.3,14.85,14.95,1273300
09/20/23,15.5,15.5,14.95,15,32720500
09/19/23,15.7,15.7,15.2,15.4,935300
09/18/23,16,16,15.45,15.6,1446800
09/15/23,15.7,16,15.5,15.75,1722600
09/14/23,15.5,15.95,15.25,15.5,15168100
09/13/23,15.4,15.75,14.9,15.3,8023600
09/12/23,16,16,15.25,15.35,1665700
09/11/23,16,16,15.5,15.75,10124400
09/08/23,15.3,16.2,15.3,15.5,8584700
09/07/23,15.3,15.45,15.2,15.25,1374300
09/06/23,15.2,15.3,15.05,15.1,23586000
09/05/23,15.4,15.4,15.05,15.1,11102200
09/04/23,15.3,15.3,15,15.1,802900
09/01/23,15.4,15.4,14.9,15.1,2761200
08/31/23,15.7,15.7,15.2,15.4,1497600
08/30/23,15.5,15.7,15.4,15.5,5767600
08/29/23,15.5,15.5,15.35,15.45,1522500
08/28/23,15.5,15.5,15.4,15.45,3574900
08/25/23,15.75,15.75,15.3,15.5,671600
08/24/23,16,16,15.7,15.75,520900
08/23/23,15.85,15.95,15.2,15.55,3907600
08/22/23,15.9,16,15.8,15.9,1019800
08/21/23,16,16.25,15.85,15.95,975600
08/18/23,16,16.25,15.95,16,1575200
08/17/23,16,16.3,15.6,15.95,7023200
08/16/23,15.95,15.95,15,15,30962801
08/15/23,16,16,15.8,15.9,2795500
08/14/23,16.2,16.2,15.5,15.9,5431200
